User ID,Age,Gender,Education Level,Profession,Skill Category,Initial Skill Level,Training Hours,Confidence Level,Feedback Score,Activity Participation,Current Skill Level,Progress (%)
1,26,Female,PhD,Software Engineer,Conflict Resolution,1,16,7,3,14,3.2,220.0
2,23,Other,High School,Student,Leadership,8,21,4,7,1,10.0,25.0
3,32,Male,High School,Data Scientist,Leadership,10,46,9,7,5,10.0,0.0
4,34,Male,High School,Manager,Writing Skills,6,34,10,10,8,10.0,66.7
5,30,Male,Bachelor's,Data Scientist,Writing Skills,5,33,6,6,12,9.5,90.0
6,27,Male,PhD,Manager,Persuasive Speaking,10,23,3,7,2,10.0,0.0
7,32,Male,High School,Software Engineer,Emotional Intelligence,9,15,5,2,12,10.0,11.1
8,24,Male,PhD,Student,Persuasive Speaking,2,38,5,9,5,7.6,280.0
9,26,Male,Bachelor's,Manager,Conflict Resolution,5,11,5,10,5,8.1,62.0
10,29,Female,High School,Manager,Persuasive Speaking,6,48,8,10,13,10.0,66.7
11,22,Other,Master's,Manager,Communication,7,38,9,1,9,10.0,42.9
12,26,Male,Bachelor's,Manager,Conflict Resolution,5,24,9,1,10,7.6,52.0
13,30,Female,Master's,Student,Writing Skills,9,42,6,3,1,10.0,11.1
14,30,Female,PhD,Student,Leadership,1,28,6,3,3,4.4,340.0
15,27,Other,PhD,Software Engineer,Writing Skills,7,14,9,1,18,8.6,22.9
16,24,Male,Bachelor's,Student,Emotional Intelligence,10,36,4,7,12,10.0,0.0
17,23,Other,PhD,Manager,Conflict Resolution,7,19,6,4,3,9.7,38.6
18,27,Male,Master's,Software Engineer,Conflict Resolution,4,41,4,10,9,10.0,150.0
19,27,Female,High School,Software Engineer,Communication,9,24,1,2,2,10.0,11.1
20,22,Female,High School,Software Engineer,Emotional Intelligence,5,7,7,10,3,7.7,54.0
21,25,Female,High School,Manager,Leadership,4,41,10,5,14,9.1,127.5
22,24,Female,Bachelor's,Data Scientist,Critical Thinking,7,44,6,6,4,10.0,42.9
23,21,Other,PhD,Manager,Conflict Resolution,4,12,9,9,19,7.0,75.0
24,27,Male,Master's,Student,Conflict Resolution,3,44,7,4,13,8.2,173.3
25,31,Male,PhD,Student,Communication,9,48,7,2,7,10.0,11.1
26,33,Other,PhD,Manager,Persuasive Speaking,8,27,2,5,12,10.0,25.0
27,25,Male,PhD,Manager,Leadership,1,44,9,3,3,6.0,500.0
28,21,Female,High School,Software Engineer,Writing Skills,7,15,10,2,9,8.9,27.1
29,35,Male,Master's,Manager,Emotional Intelligence,9,12,9,1,2,10.0,11.1
30,31,Female,Master's,Software Engineer,Conflict Resolution,8,33,6,10,9,10.0,25.0
31,24,Other,PhD,Student,Conflict Resolution,8,34,3,2,12,10.0,25.0
